Stage,Part Code,Product,IN Date, Card Serial Number,FAULTS,Faults Observed,Repaired Date ,Key components,Repairing Corrective Action,Possible Reason,Fault  Category,Engineer
ATS,HE513200,WCBMS,16/07/2022,HE317161-30.22#D72210431760298,ATE NOT START,ATE NOT START,18/07/2022,SD,SD CARD CHANGE,ATE NOT START,component faulty,Surjeet
ATS,HE513200,WCBMS,16/07/2022,HE317161-30.22#D72210431760551,PP  COMM.TEST FAIL,PP  (RS485)COMM.TEST FAIL,,,,,,
ATS,HE513200,WCBMS,16/07/2022,HE317161-30.22#D72210431760202,LED NOT GLOWING,LED NOT GLOWING,,,,,,
ATS,HE513200,WCBMS,19/07/2022,HE317161-30.22#D72210431760311,ATE NOT START,ATE NOT START,19/07/2022,SD,SD CARD CHANGE,ATE NOT START,component faulty,Surjeet
ATS,HE513200,WCBMS,19/07/2022,HE317161-30.22#D72210433430392,RS 485 BATT.1 FAIL,RS485 FAIL,20/07/2022,PT4,PT4 Inserted,pt4 missing,component missing,Surjeet
ATS,HE513200,WCBMS,19/07/2022,HE317161-30.22#D72210433430408,RS 485 BATT.2 FAIL,RS485 FAIL,,,,,,
ATS,HE513200,WCBMS,20/07/2022,HE317161-30.22#D72210433430586,SW 3 FAIL,Switch not working,20/07/2022,SW3,sw3 changed,switch broken,component faulty,Surjeet
ATS,HE513200,WCBMS,20/07/2022,HE317161-30.22#D72210431760879,RS 485 BATT.1 FAIL,RS485 FAIL,,,,,,
ATS,HE513200,WCBMS,20/07/2022,HE317161-30.22#D72210433430590,ATE NOT START,ATE NOT START,20/07/2022,SD,SD CARD CHANGE,ATE NOT START,component faulty,Surjeet
ATS,HE513200,WCBMS,20/07/2022,HE317161-30.22#D72210433430585,ATE NOT START,ATE NOT START,,,,,,
ATS,HE513200,WCBMS,21/07/2022,HE317161-30.22#D72210433430370,S2 S3 FAIL,Switch not working,,,,,,
ATS,HE513200,WCBMS,23/07/2022,HE317161-30.22#D72210433430680,ATE NOT START,ATE NOT START,30/07/2022,SD,SD CARD CHANGE,ATE NOT START,Component faulty,Surjeet
ATS,HE513200,WCBMS,24/07/2022,HE317161-30.22#D72210433430722,LED NOT GLOWING,LED NOT GLOWING,,,,,,
ATS,HE513200,WCBMS,27/07/2022,HE317161-30.22#D72210433430981,ATE NOT START,ATE NOT START,30/07/2022,SD,SD CARD CHANGE,ATE NOT START,Component faulty,Surjeet
ATS,HE513200,WCBMS,27/07/2022,HE317161-30.22#D72210433430939,ATE NOT START,ATE NOT START,,,,,,
ATS,HE513200,WCBMS,28/07/2022,HE317161-30.22#D72210433430931,ATE NOT START,ATE NOT START,30/07/2022,SD,SD CARD CHANGE,ATE NOT START,Component faulty,Surjeet
ATS,HE513200,WCBMS,29/07/2022,HE317161-30.22#D72210433970324,LED NOT GLOWING,LED NOT GLOWING,,,,,,
ATS,HE513200,WCBMS,29/07/2022, HE317161-30.22#D72210431760979,SW2 SW3 FAIL,Switch not working,,,,,,
ATS,HE513200,WCBMS,29/07/2022,HE317161-30.22#D72210433970207,ATE NOT START,ATE NOT START,30/07/2022,SD,SD CARD CHANGE,ATE NOT START,Component faulty,Surjeet
